Unnamed: 0,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful,period
South Wales,5,100.0%,0,0.0%,251,76.1%,79,23.9%,30,83.3%,6,16.7%,32,94.1%,2,5.9%,8,72.7%,3,27.3%,188,92.2%,16,7.8%,22,84.6%,4,15.4%,48,87.3%,7,12.7%,115,93.5%,8,6.5%,101,93.5%,7,6.5%,23,100.0%,0,0.0%,183,87.1%,27,12.9%,11,100.0%,Dec.csv 2017
South Yorkshire,0,-,0,-,204,79.7%,52,20.3%,8,80.0%,2,20.0%,32,78.0%,9,22.0%,12,66.7%,6,33.3%,138,94.5%,8,5.5%,15,93.8%,1,6.3%,44,89.8%,5,10.2%,65,92.9%,5,7.1%,45,81.8%,10,18.2%,14,100.0%,0,0.0%,82,75.9%,26,24.1%,16,100.0%,Dec.csv 2017
Staffordshire,2,100.0%,0,0.0%,160,78.4%,44,21.6%,28,82.4%,6,17.6%,15,88.2%,2,11.8%,4,66.7%,2,33.3%,98,90.7%,10,9.3%,11,78.6%,3,21.4%,31,79.5%,8,20.5%,55,90.2%,6,9.8%,50,94.3%,3,5.7%,14,93.3%,1,6.7%,129,90.2%,14,9.8%,18,100.0%,Dec.csv 2017
Suffolk,0,-,0,-,88,88.9%,11,11.1%,5,83.3%,1,16.7%,2,100.0%,0,0.0%,1,100.0%,0,0.0%,54,91.5%,5,8.5%,1,50.0%,1,50.0%,12,100.0%,0,0.0%,37,97.4%,1,2.6%,29,90.6%,3,9.4%,8,100.0%,0,0.0%,111,94.9%,6,5.1%,7,100.0%,Dec.csv 2017
Surrey,0,-,0,-,124,84.9%,22,15.1%,15,83.3%,3,16.7%,4,66.7%,2,33.3%,1,100.0%,0,0.0%,38,88.4%,5,11.6%,6,85.7%,1,14.3%,14,87.5%,2,12.5%,36,97.3%,1,2.7%,27,90.0%,3,10.0%,2,66.7%,1,33.3%,94,92.2%,8,7.8%,16,100.0%,Dec.csv 2017
Sussex,0,-,0,-,250,85.6%,42,14.4%,19,65.5%,10,34.5%,11,91.7%,1,8.3%,10,90.9%,1,9.1%,107,96.4%,4,3.6%,13,81.3%,3,18.8%,30,85.7%,5,14.3%,51,96.2%,2,3.8%,38,86.4%,6,13.6%,12,92.3%,1,7.7%,147,89.6%,17,10.4%,11,100.0%,Dec.csv 2017
Thames Valley,1,50.0%,1,50.0%,257,78.6%,70,21.4%,55,73.3%,20,26.7%,29,87.9%,4,12.1%,6,85.7%,1,14.3%,144,91.1%,14,8.9%,22,84.6%,4,15.4%,37,78.7%,10,21.3%,92,93.9%,6,6.1%,68,85.0%,12,15.0%,16,94.1%,1,5.9%,229,90.5%,24,9.5%,21,100.0%,Dec.csv 2017
Warwickshire,1,50.0%,1,50.0%,57,80.3%,14,19.7%,6,54.5%,5,45.5%,5,100.0%,0,0.0%,0,0.0%,1,100.0%,39,90.7%,4,9.3%,2,100.0%,0,0.0%,8,100.0%,0,0.0%,4,100.0%,0,0.0%,17,81.0%,4,19.0%,0,0.0%,2,100.0%,67,87.0%,10,13.0%,7,100.0%,Dec.csv 2017
West Mercia,0,0.0%,1,100.0%,162,81.8%,36,18.2%,19,82.6%,4,17.4%,12,75.0%,4,25.0%,4,57.1%,3,42.9%,104,95.4%,5,4.6%,15,100.0%,0,0.0%,22,88.0%,3,12.0%,39,100.0%,0,0.0%,53,94.6%,3,5.4%,7,87.5%,1,12.5%,137,89.0%,17,11.0%,10,100.0%,Dec.csv 2017
West Midlands,8,100.0%,0,0.0%,519,79.8%,131,20.2%,47,66.2%,24,33.8%,36,83.7%,7,16.3%,39,83.0%,8,17.0%,340,90.7%,35,9.3%,45,91.8%,4,8.2%,63,78.8%,17,21.3%,203,95.3%,10,4.7%,189,89.2%,23,10.8%,57,82.6%,12,17.4%,227,88.0%,31,12.0%,69,100.0%,Dec.csv 2017
West Yorkshire,2,100.0%,0,0.0%,417,83.7%,81,16.3%,53,73.6%,19,26.4%,52,96.3%,2,3.7%,16,84.2%,3,15.8%,234,90.0%,26,10.0%,21,80.8%,5,19.2%,71,83.5%,14,16.5%,96,92.3%,8,7.7%,113,86.3%,18,13.7%,44,93.6%,3,6.4%,261,86.1%,42,13.9%,39,100.0%,Dec.csv 2017
Wiltshire,1,50.0%,1,50.0%,88,87.1%,13,12.9%,3,60.0%,2,40.0%,8,100.0%,0,0.0%,0,0,0,0,65,98.5%,1,1.5%,9,100.0%,0,0.0%,16,84.2%,3,15.8%,27,96.4%,1,3.6%,21,91.3%,2,8.7%,2,100.0%,0,0.0%,60,93.8%,4,6.3%,5,100.0%,Dec.csv 2017
National,125,83.3%,25,16.7%,"11,455",78.7%,"3,097",21.3%,"1,149",72.0%,447,28.0%,"1,278",83.3%,256,16.7%,359,80.7%,86,19.3%,"8,346",92.4%,690,7.6%,"1,075",85.7%,180,14.3%,"1,925",83.9%,370,16.1%,"4,383",94.2%,271,5.8%,"3,458",84.4%,638,15.6%,787,84.4%,145,15.6%,"7,598",84.3%,"1,412",15.7%,740,100.0%,April.csv 2016
Avon and Somerset,2,66.7%,1,33.3%,275,81.4%,63,18.6%,37,69.8%,16,30.2%,25,96.2%,1,3.8%,12,85.7%,2,14.3%,200,92.2%,17,7.8%,34,82.9%,7,17.1%,63,82.9%,13,17.1%,97,99.0%,1,1.0%,70,90.9%,7,9.1%,11,100.0%,0,0.0%,196,87.1%,29,12.9%,15,100.0%,April.csv 2016
Bedfordshire,0,-,0,-,89,77.4%,26,22.6%,12,100.0%,0,0.0%,10,90.9%,1,9.1%,6,100.0%,0,0.0%,71,95.9%,3,4.1%,10,83.3%,2,16.7%,13,81.3%,3,18.8%,29,90.6%,3,9.4%,15,83.3%,3,16.7%,7,87.5%,1,12.5%,92,76.0%,29,24.0%,13,100.0%,April.csv 2016
Cambridgeshire,2,100.0%,0,0.0%,151,81.6%,34,18.4%,17,77.3%,5,22.7%,19,90.5%,2,9.5%,5,83.3%,1,16.7%,120,90.9%,12,9.1%,9,81.8%,2,18.2%,23,74.2%,8,25.8%,30,96.8%,1,3.2%,34,85.0%,6,15.0%,14,77.8%,4,22.2%,109,87.9%,15,12.1%,16,100.0%,April.csv 2016
Cheshire,1,50.0%,1,50.0%,280,85.9%,46,14.1%,27,77.1%,8,22.9%,26,96.3%,1,3.7%,6,100.0%,0,0.0%,174,94.6%,10,5.4%,26,100.0%,0,0.0%,37,88.1%,5,11.9%,116,98.3%,2,1.7%,111,90.2%,12,9.8%,13,100.0%,0,0.0%,156,86.7%,24,13.3%,11,100.0%,April.csv 2016
Cleveland,1,100.0%,0,0.0%,121,75.6%,39,24.4%,6,100.0%,0,0.0%,29,80.6%,7,19.4%,2,100.0%,0,0.0%,238,96.0%,10,4.0%,8,80.0%,2,20.0%,38,88.4%,5,11.6%,54,79.4%,14,20.6%,60,85.7%,10,14.3%,6,100.0%,0,0.0%,79,87.8%,11,12.2%,3,100.0%,April.csv 2016
Cumbria,0,-,0,-,116,85.9%,19,14.1%,6,100.0%,0,0.0%,6,100.0%,0,0.0%,1,100.0%,0,0.0%,73,90.1%,8,9.9%,6,75.0%,2,25.0%,28,93.3%,2,6.7%,39,95.1%,2,4.9%,42,95.5%,2,4.5%,12,100.0%,0,0.0%,81,91.0%,8,9.0%,2,100.0%,April.csv 2016
Derbyshire,0,-,0,-,242,83.7%,47,16.3%,3,100.0%,0,0.0%,14,73.7%,5,26.3%,9,69.2%,4,30.8%,170,86.3%,27,13.7%,21,95.5%,1,4.5%,61,87.1%,9,12.9%,56,93.3%,4,6.7%,58,86.6%,9,13.4%,24,100.0%,0,0.0%,112,89.6%,13,10.4%,6,100.0%,April.csv 2016
Devon and Cornwall,4,80.0%,1,20.0%,267,82.7%,56,17.3%,18,90.0%,2,10.0%,28,96.6%,1,3.4%,3,42.9%,4,57.1%,102,95.3%,5,4.7%,19,82.6%,4,17.4%,30,85.7%,5,14.3%,73,98.6%,1,1.4%,51,83.6%,10,16.4%,9,64.3%,5,35.7%,204,84.6%,37,15.4%,16,100.0%,April.csv 2016
Dorset,1,100.0%,0,0.0%,142,87.7%,20,12.3%,11,91.7%,1,8.3%,12,85.7%,2,14.3%,0,0,0,0,103,96.3%,4,3.7%,9,90.0%,1,10.0%,26,96.3%,1,3.7%,54,98.2%,1,1.8%,49,86.0%,8,14.0%,10,90.9%,1,9.1%,97,92.4%,8,7.6%,10,100.0%,April.csv 2016
Durham,0,-,0,-,144,87.3%,21,12.7%,4,100.0%,0,0.0%,23,82.1%,5,17.9%,2,66.7%,1,33.3%,117,92.9%,9,7.1%,6,66.7%,3,33.3%,30,88.2%,4,11.8%,29,100.0%,0,0.0%,34,85.0%,6,15.0%,12,92.3%,1,7.7%,101,96.2%,4,3.8%,5,100.0%,April.csv 2016
Dyfed Powys,2,100.0%,0,0.0%,67,80.7%,16,19.3%,7,53.8%,6,46.2%,5,83.3%,1,16.7%,2,100.0%,0,0.0%,42,95.5%,2,4.5%,3,100.0%,0,0.0%,12,92.3%,1,7.7%,48,96.0%,2,4.0%,33,94.3%,2,5.7%,4,57.1%,3,42.9%,80,77.7%,23,22.3%,6,100.0%,April.csv 2016
Essex,6,75.0%,2,25.0%,346,77.4%,101,22.6%,48,76.2%,15,23.8%,25,86.2%,4,13.8%,9,90.0%,1,10.0%,188,91.3%,18,8.7%,27,75.0%,9,25.0%,62,89.9%,7,10.1%,91,92.9%,7,7.1%,70,77.8%,20,22.2%,20,80.0%,5,20.0%,204,84.0%,39,16.0%,14,100.0%,April.csv 2016
Gloucestershire,3,100.0%,0,0.0%,79,78.2%,22,21.8%,4,100.0%,0,0.0%,13,86.7%,2,13.3%,1,100.0%,0,0.0%,70,93.3%,5,6.7%,6,85.7%,1,14.3%,13,76.5%,4,23.5%,26,100.0%,0,0.0%,12,80.0%,3,20.0%,2,100.0%,0,0.0%,65,91.5%,6,8.5%,8,100.0%,April.csv 2016
GreaterManchester,5,83.3%,1,16.7%,604,79.5%,156,20.5%,112,72.7%,42,27.3%,61,85.9%,10,14.1%,16,88.9%,2,11.1%,318,96.4%,12,3.6%,34,97.1%,1,2.9%,91,85.0%,16,15.0%,152,96.2%,6,3.8%,160,89.9%,18,10.1%,48,76.2%,15,23.8%,387,87.8%,54,12.2%,30,100.0%,April.csv 2016
Gwent,0,-,0,-,122,87.1%,18,12.9%,11,78.6%,3,21.4%,13,100.0%,0,0.0%,3,75.0%,1,25.0%,97,94.2%,6,5.8%,5,71.4%,2,28.6%,21,80.8%,5,19.2%,58,98.3%,1,1.7%,25,86.2%,4,13.8%,5,100.0%,0,0.0%,84,85.7%,14,14.3%,5,100.0%,April.csv 2016
Hampshire,4,100.0%,0,0.0%,269,87.6%,38,12.4%,41,85.4%,7,14.6%,34,94.4%,2,5.6%,6,100.0%,0,0.0%,176,92.1%,15,7.9%,17,73.9%,6,26.1%,39,84.8%,7,15.2%,85,96.6%,3,3.4%,61,84.7%,11,15.3%,16,80.0%,4,20.0%,213,90.6%,22,9.4%,14,100.0%,April.csv 2016
Hertfordshire,1,50.0%,1,50.0%,221,77.3%,65,22.7%,17,89.5%,2,10.5%,21,75.0%,7,25.0%,5,100.0%,0,0.0%,220,94.4%,13,5.6%,39,92.9%,3,7.1%,36,75.0%,12,25.0%,71,94.7%,4,5.3%,53,79.1%,14,20.9%,11,78.6%,3,21.4%,157,82.6%,33,17.4%,11,100.0%,April.csv 2016
Humberside,3,100.0%,0,0.0%,152,84.4%,28,15.6%,28,71.8%,11,28.2%,29,80.6%,7,19.4%,10,100.0%,0,0.0%,184,95.3%,9,4.7%,11,84.6%,2,15.4%,47,87.0%,7,13.0%,61,93.8%,4,6.2%,74,93.7%,5,6.3%,16,61.5%,10,38.5%,121,93.1%,9,6.9%,6,100.0%,April.csv 2016
Kent,11,100.0%,0,0.0%,244,80.0%,61,20.0%,22,61.1%,14,38.9%,44,93.6%,3,6.4%,10,66.7%,5,33.3%,157,89.2%,19,10.8%,39,76.5%,12,23.5%,31,86.1%,5,13.9%,63,94.0%,4,6.0%,53,93.0%,4,7.0%,10,76.9%,3,23.1%,170,84.6%,31,15.4%,23,100.0%,April.csv 2016
Lancashire,3,60.0%,2,40.0%,330,79.1%,87,20.9%,24,92.3%,2,7.7%,42,84.0%,8,16.0%,11,73.3%,4,26.7%,271,93.8%,18,6.2%,34,94.4%,2,5.6%,63,78.8%,17,21.3%,100,95.2%,5,4.8%,135,89.4%,16,10.6%,27,96.4%,1,3.6%,283,85.5%,48,14.5%,13,100.0%,April.csv 2016
Leicestershire,6,75.0%,2,25.0%,173,77.9%,49,22.1%,25,75.8%,8,24.2%,22,75.9%,7,24.1%,5,71.4%,2,28.6%,90,90.9%,9,9.1%,15,93.8%,1,6.3%,33,94.3%,2,5.7%,37,86.0%,6,14.0%,52,83.9%,10,16.1%,12,100.0%,0,0.0%,147,88.0%,20,12.0%,5,100.0%,April.csv 2016
Lincolnshire,0,-,0,-,166,83.4%,33,16.6%,5,100.0%,0,0.0%,22,95.7%,1,4.3%,3,100.0%,0,0.0%,102,91.9%,9,8.1%,9,81.8%,2,18.2%,24,88.9%,3,11.1%,37,94.9%,2,5.1%,46,88.5%,6,11.5%,6,66.7%,3,33.3%,124,74.7%,42,25.3%,6,100.0%,April.csv 2016
Merseyside,2,100.0%,0,0.0%,356,83.2%,72,16.8%,46,75.4%,15,24.6%,24,82.8%,5,17.2%,10,100.0%,0,0.0%,236,94.8%,13,5.2%,25,92.6%,2,7.4%,49,83.1%,10,16.9%,189,97.9%,4,2.1%,120,86.3%,19,13.7%,13,86.7%,2,13.3%,219,86.9%,33,13.1%,17,100.0%,April.csv 2016
Metropolitan and City,20,80.0%,5,20.0%,"1,814",71.1%,739,28.9%,161,69.1%,72,30.9%,240,79.7%,61,20.3%,83,78.3%,23,21.7%,"1,119",86.6%,173,13.4%,260,83.9%,50,16.1%,267,80.9%,63,19.1%,"1,166",92.3%,97,7.7%,530,77.7%,152,22.3%,152,81.3%,35,18.7%,"1,009",74.3%,349,25.7%,211,100.0%,April.csv 2016
Norfolk,0,0.0%,1,100.0%,193,81.4%,44,18.6%,13,86.7%,2,13.3%,14,82.4%,3,17.6%,6,75.0%,2,25.0%,121,91.7%,11,8.3%,12,100.0%,0,0.0%,48,96.0%,2,4.0%,52,92.9%,4,7.1%,69,78.4%,19,21.6%,11,100.0%,0,0.0%,111,87.4%,16,12.6%,13,100.0%,April.csv 2016
Northamptonshire,1,100.0%,0,0.0%,125,75.3%,41,24.7%,6,85.7%,1,14.3%,17,81.0%,4,19.0%,6,100.0%,0,0.0%,75,92.6%,6,7.4%,12,85.7%,2,14.3%,26,81.3%,6,18.8%,35,97.2%,1,2.8%,33,89.2%,4,10.8%,5,100.0%,0,0.0%,95,79.2%,25,20.8%,11,100.0%,April.csv 2016
Northumbria,4,100.0%,0,0.0%,339,72.6%,128,27.4%,57,69.5%,25,30.5%,54,87.1%,8,12.9%,12,100.0%,0,0.0%,331,92.2%,28,7.8%,31,91.2%,3,8.8%,62,74.7%,21,25.3%,96,93.2%,7,6.8%,146,73.7%,52,26.3%,15,71.4%,6,28.6%,243,85.9%,40,14.1%,7,100.0%,April.csv 2016
North Wales,1,100.0%,0,0.0%,173,82.8%,36,17.2%,14,77.8%,4,22.2%,10,66.7%,5,33.3%,2,100.0%,0,0.0%,128,99.2%,1,0.8%,10,83.3%,2,16.7%,35,83.3%,7,16.7%,48,96.0%,2,4.0%,47,77.0%,14,23.0%,7,100.0%,0,0.0%,81,84.4%,15,15.6%,3,100.0%,April.csv 2016
North Yorkshire,1,100.0%,0,0.0%,116,79.5%,30,20.5%,7,87.5%,1,12.5%,10,55.6%,8,44.4%,8,100.0%,0,0.0%,108,93.1%,8,6.9%,7,77.8%,2,22.2%,23,88.5%,3,11.5%,51,92.7%,4,7.3%,44,89.8%,5,10.2%,9,100.0%,0,0.0%,107,93.9%,7,6.1%,6,100.0%,April.csv 2016
Nottinghamshire,2,100.0%,0,0.0%,258,72.7%,97,27.3%,36,70.6%,15,29.4%,30,85.7%,5,14.3%,7,50.0%,7,50.0%,262,94.6%,15,5.4%,25,86.2%,4,13.8%,46,75.4%,15,24.6%,98,97.0%,3,3.0%,90,84.9%,16,15.1%,25,92.6%,2,7.4%,139,83.2%,28,16.8%,11,100.0%,April.csv 2016
South Wales,5,62.5%,3,37.5%,397,75.8%,127,24.2%,27,65.9%,14,34.1%,51,79.7%,13,20.3%,5,83.3%,1,16.7%,294,95.5%,14,4.5%,17,94.4%,1,5.6%,50,87.7%,7,12.3%,204,98.6%,3,1.4%,137,87.3%,20,12.7%,19,90.5%,2,9.5%,299,79.1%,79,20.9%,5,100.0%,April.csv 2016
South Yorkshire,1,100.0%,0,0.0%,197,74.3%,68,25.7%,3,100.0%,0,0.0%,25,71.4%,10,28.6%,8,66.7%,4,33.3%,289,96.0%,12,4.0%,11,73.3%,4,26.7%,55,78.6%,15,21.4%,88,94.6%,5,5.4%,87,86.1%,14,13.9%,26,100.0%,0,0.0%,171,91.0%,17,9.0%,14,100.0%,April.csv 2016
Staffordshire,4,80.0%,1,20.0%,221,82.2%,48,17.8%,24,80.0%,6,20.0%,16,84.2%,3,15.8%,5,83.3%,1,16.7%,157,94.0%,10,6.0%,14,100.0%,0,0.0%,50,78.1%,14,21.9%,61,93.8%,4,6.2%,67,94.4%,4,5.6%,15,93.8%,1,6.3%,164,77.0%,49,23.0%,9,100.0%,April.csv 2016
Suffolk,0,-,0,-,119,85.6%,20,14.4%,7,87.5%,1,12.5%,9,100.0%,0,0.0%,1,100.0%,0,0.0%,81,94.2%,5,5.8%,8,80.0%,2,20.0%,19,79.2%,5,20.8%,41,100.0%,0,0.0%,39,86.7%,6,13.3%,4,100.0%,0,0.0%,77,93.9%,5,6.1%,11,100.0%,April.csv 2016
Surrey,0,-,0,-,149,81.0%,35,19.0%,9,40.9%,13,59.1%,7,87.5%,1,12.5%,6,85.7%,1,14.3%,59,86.8%,9,13.2%,8,88.9%,1,11.1%,19,79.2%,5,20.8%,42,97.7%,1,2.3%,24,75.0%,8,25.0%,6,100.0%,0,0.0%,122,95.3%,6,4.7%,13,100.0%,April.csv 2016
Sussex,1,100.0%,0,0.0%,278,81.5%,63,18.5%,25,54.3%,21,45.7%,27,90.0%,3,10.0%,3,50.0%,3,50.0%,205,93.2%,15,6.8%,20,87.0%,3,13.0%,30,78.9%,8,21.1%,83,97.6%,2,2.4%,53,74.6%,18,25.4%,16,84.2%,3,15.8%,180,89.6%,21,10.4%,16,100.0%,April.csv 2016
Thames Valley,2,66.7%,1,33.3%,421,75.0%,140,25.0%,54,65.1%,29,34.9%,44,91.7%,4,8.3%,5,83.3%,1,16.7%,292,90.7%,30,9.3%,45,84.9%,8,15.1%,52,82.5%,11,17.5%,141,98.6%,2,1.4%,114,80.3%,28,19.7%,25,83.3%,5,16.7%,276,89.9%,31,10.1%,17,100.0%,April.csv 2016
Warwickshire,1,50.0%,1,50.0%,81,85.3%,14,14.7%,8,80.0%,2,20.0%,8,88.9%,1,11.1%,3,100.0%,0,0.0%,53,91.4%,5,8.6%,7,77.8%,2,22.2%,9,81.8%,2,18.2%,21,84.0%,4,16.0%,19,95.0%,1,5.0%,5,71.4%,2,28.6%,95,82.6%,20,17.4%,4,100.0%,April.csv 2016
West Mercia,0,-,0,-,173,77.6%,50,22.4%,35,72.9%,13,27.1%,16,84.2%,3,15.8%,1,16.7%,5,83.3%,180,94.7%,10,5.3%,23,85.2%,4,14.8%,35,92.1%,3,7.9%,64,92.8%,5,7.2%,68,94.4%,4,5.6%,22,91.7%,2,8.3%,200,86.2%,32,13.8%,8,100.0%,April.csv 2016
West Midlands,14,93.3%,1,6.7%,810,82.3%,174,17.7%,76,58.0%,55,42.0%,93,76.2%,29,23.8%,40,81.6%,9,18.4%,659,91.9%,58,8.1%,109,86.5%,17,13.5%,109,87.2%,16,12.8%,259,94.2%,16,5.8%,316,87.1%,47,12.9%,82,84.5%,15,15.5%,395,85.7%,66,14.3%,88,100.0%,April.csv 2016
West Yorkshire,11,91.7%,1,8.3%,509,81.4%,116,18.6%,43,78.2%,12,21.8%,48,78.7%,13,21.3%,19,90.5%,2,9.5%,338,94.4%,20,5.6%,33,84.6%,6,15.4%,95,87.2%,14,12.8%,199,86.9%,30,13.1%,127,86.4%,20,13.6%,25,69.4%,11,30.6%,282,85.2%,49,14.8%,33,100.0%,April.csv 2016
Wiltshire,0,-,0,-,126,92.6%,10,7.4%,13,76.5%,4,23.5%,12,100.0%,0,0.0%,2,100.0%,0,0.0%,76,91.6%,7,8.4%,11,84.6%,2,15.4%,25,92.6%,2,7.4%,39,90.7%,4,9.3%,30,96.8%,1,3.2%,10,100.0%,0,0.0%,71,93.4%,5,6.6%,5,100.0%,April.csv 2016
National,101,74.3%,35,25.7%,"10,394",77.1%,"3,087",22.9%,"1,084",74.9%,363,25.1%,"1,159",85.9%,191,14.1%,348,77.2%,103,22.8%,"7,156",91.8%,637,8.2%,961,84.3%,179,15.7%,"1,831",84.5%,337,15.5%,"4,123",94.1%,260,5.9%,"3,245",83.7%,634,16.3%,697,84.5%,128,15.5%,"7,150",84.4%,"1,317",15.6%,803,100.0%,Jul.csv 2016
Avon and Somerset,3,33.3%,6,66.7%,305,77.4%,89,22.6%,48,82.8%,10,17.2%,35,92.1%,3,7.9%,7,87.5%,1,12.5%,186,93.5%,13,6.5%,13,81.3%,3,18.8%,51,87.9%,7,12.1%,98,98.0%,2,2.0%,73,88.0%,10,12.0%,8,80.0%,2,20.0%,203,86.4%,32,13.6%,35,100.0%,Jul.csv 2016
Bedfordshire,3,60.0%,2,40.0%,83,83.8%,16,16.2%,7,77.8%,2,22.2%,22,95.7%,1,4.3%,3,75.0%,1,25.0%,41,85.4%,7,14.6%,6,100.0%,0,0.0%,16,100.0%,0,0.0%,31,93.9%,2,6.1%,16,76.2%,5,23.8%,4,66.7%,2,33.3%,76,80.0%,19,20.0%,10,100.0%,Jul.csv 2016
Cambridgeshire,0,-,0,-,138,84.1%,26,15.9%,10,83.3%,2,16.7%,15,88.2%,2,11.8%,4,80.0%,1,20.0%,85,96.6%,3,3.4%,3,100.0%,0,0.0%,29,87.9%,4,12.1%,36,97.3%,1,2.7%,28,87.5%,4,12.5%,7,100.0%,0,0.0%,84,88.4%,11,11.6%,11,100.0%,Jul.csv 2016
Cheshire,2,100.0%,0,0.0%,275,84.4%,51,15.6%,21,72.4%,8,27.6%,14,73.7%,5,26.3%,1,33.3%,2,66.7%,151,95.0%,8,5.0%,15,100.0%,0,0.0%,40,87.0%,6,13.0%,101,98.1%,2,1.9%,95,91.3%,9,8.7%,14,87.5%,2,12.5%,201,91.8%,18,8.2%,6,100.0%,Jul.csv 2016
Cleveland,1,100.0%,0,0.0%,148,77.5%,43,22.5%,11,91.7%,1,8.3%,39,90.7%,4,9.3%,5,55.6%,4,44.4%,210,93.3%,15,6.7%,11,100.0%,0,0.0%,40,78.4%,11,21.6%,75,96.2%,3,3.8%,46,78.0%,13,22.0%,14,73.7%,5,26.3%,85,96.6%,3,3.4%,6,100.0%,Jul.csv 2016
Cumbria,0,-,0,-,96,78.7%,26,21.3%,5,83.3%,1,16.7%,9,90.0%,1,10.0%,1,100.0%,0,0.0%,64,91.4%,6,8.6%,7,87.5%,1,12.5%,25,78.1%,7,21.9%,34,91.9%,3,8.1%,25,89.3%,3,10.7%,4,100.0%,0,0.0%,74,91.4%,7,8.6%,3,100.0%,Jul.csv 2016
Derbyshire,0,-,0,-,178,81.7%,40,18.3%,4,100.0%,0,0.0%,14,82.4%,3,17.6%,7,100.0%,0,0.0%,117,92.1%,10,7.9%,12,100.0%,0,0.0%,45,83.3%,9,16.7%,48,87.3%,7,12.7%,49,83.1%,10,16.9%,12,80.0%,3,20.0%,116,82.9%,24,17.1%,22,100.0%,Jul.csv 2016
Devon and Cornwall,2,66.7%,1,33.3%,221,79.2%,58,20.8%,16,88.9%,2,11.1%,20,90.9%,2,9.1%,4,80.0%,1,20.0%,112,95.7%,5,4.3%,18,75.0%,6,25.0%,37,92.5%,3,7.5%,52,100.0%,0,0.0%,51,83.6%,10,16.4%,5,100.0%,0,0.0%,189,87.5%,27,12.5%,9,100.0%,Jul.csv 2016
Dorset,1,100.0%,0,0.0%,130,87.2%,19,12.8%,10,76.9%,3,23.1%,9,75.0%,3,25.0%,0,0,0,0,77,96.3%,3,3.8%,8,100.0%,0,0.0%,24,92.3%,2,7.7%,42,97.7%,1,2.3%,48,85.7%,8,14.3%,6,100.0%,0,0.0%,66,86.8%,10,13.2%,9,100.0%,Jul.csv 2016
Durham,0,0.0%,1,100.0%,104,81.9%,23,18.1%,6,85.7%,1,14.3%,15,93.8%,1,6.3%,3,75.0%,1,25.0%,87,94.6%,5,5.4%,12,92.3%,1,7.7%,21,80.8%,5,19.2%,18,100.0%,0,0.0%,23,74.2%,8,25.8%,11,100.0%,0,0.0%,104,94.5%,6,5.5%,7,100.0%,Jul.csv 2016
Dyfed Powys,0,0.0%,1,100.0%,65,84.4%,12,15.6%,5,62.5%,3,37.5%,4,100.0%,0,0.0%,0,0,0,0,31,93.9%,2,6.1%,3,50.0%,3,50.0%,15,100.0%,0,0.0%,36,100.0%,0,0.0%,34,94.4%,2,5.6%,2,66.7%,1,33.3%,77,83.7%,15,16.3%,6,100.0%,Jul.csv 2016
Essex,7,100.0%,0,0.0%,303,80.8%,72,19.2%,45,76.3%,14,23.7%,31,86.1%,5,13.9%,11,64.7%,6,35.3%,157,89.7%,18,10.3%,26,83.9%,5,16.1%,41,80.4%,10,19.6%,77,95.1%,4,4.9%,54,85.7%,9,14.3%,10,71.4%,4,28.6%,195,81.9%,43,18.1%,28,100.0%,Jul.csv 2016
Gloucestershire,1,100.0%,0,0.0%,86,82.7%,18,17.3%,1,100.0%,0,0.0%,16,88.9%,2,11.1%,4,100.0%,0,0.0%,48,94.1%,3,5.9%,9,100.0%,0,0.0%,12,92.3%,1,7.7%,35,100.0%,0,0.0%,25,69.4%,11,30.6%,2,100.0%,0,0.0%,57,95.0%,3,5.0%,4,100.0%,Jul.csv 2016
